,Experience,Qualifications,Salary Range,Country,Work Type,Company Size,Preference,Job Title,Role,Job Description,skills,Responsibilities
527,1 to 8 Years,BA,$55K-$83K,Guam,Intern,17630,Male,Psychologist,Clinical Psychologist,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.",Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills,"Provide therapy and counseling services to individuals, couples, and families. Conduct psychological assessments and diagnoses. Develop treatment plans and provide ongoing support."
528,3 to 8 Years,M.Com,$65K-$92K,Argentina,Part-Time,23102,Female,Psychologist,Research Psychologist,"Research Psychologists conduct psychological research to advance the fields understanding. They design studies, collect data, and analyze results to inform scientific knowledge.",Research methodology Data analysis Psychological studies Writing research reports Critical thinking,"Conduct psychological research, design experiments, and analyze data. Publish research findings in academic journals. Contribute to the advancement of psychological knowledge."
529,4 to 14 Years,BA,$57K-$100K,Senegal,Contract,32998,Female,Psychologist,Clinical Psychologist,"Clinical Psychologists diagnose and treat mental health disorders. They conduct therapy sessions, assessments, and research to improve patients well-being.",Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills,"Provide therapy and counseling services to individuals, couples, and families. Conduct psychological assessments and diagnoses. Develop treatment plans and provide ongoing support."
530,0 to 15 Years,BA,$58K-$96K,Djibouti,Full-Time,119083,Both,Public Relations Specialist,Brand PR Specialist,"Brand PR Specialists focus on promoting and maintaining a positive brand image through media relations, events, and communication efforts.",Brand management Public relations Brand storytelling Influencer marketing Media monitoring,Promote and protect the brands image and reputation. Develop PR campaigns and brand messaging. Monitor and analyze PR campaign performance.
531,3 to 12 Years,BBA,$57K-$85K,Belarus,Temporary,62026,Male,Public Relations Specialist,Brand PR Specialist,"Brand PR Specialists focus on promoting and maintaining a positive brand image through media relations, events, and communication efforts.",Brand management Public relations Brand storytelling Influencer marketing Media monitoring,Promote and protect the brands image and reputation. Develop PR campaigns and brand messaging. Monitor and analyze PR campaign performance.
532,0 to 15 Years,B.Tech,$64K-$123K,Poland,Contract,79307,Female,Public Relations Specialist,Crisis Communication Manager,"Crisis Communication Managers develop strategies to manage and respond to crises, maintaining the organizations reputation during challenging times.",Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication,Develop crisis communication plans and strategies for handling PR crises. Respond to crises and manage public perception and reputation. Provide media training for spokespersons.
533,3 to 14 Years,MCA,$57K-$109K,Gambia,Contract,122595,Male,Public Relations Specialist,Brand PR Specialist,"Brand PR Specialists focus on promoting and maintaining a positive brand image through media relations, events, and communication efforts.",Brand management Public relations Brand storytelling Influencer marketing Media monitoring,Promote and protect the brands image and reputation. Develop PR campaigns and brand messaging. Monitor and analyze PR campaign performance.
534,2 to 13 Years,BCA,$59K-$112K,UK,Temporary,28269,Male,Public Relations Specialist,Crisis Communication Manager,"Crisis Communication Managers develop strategies to manage and respond to crises, maintaining the organizations reputation during challenging times.",Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication,Develop crisis communication plans and strategies for handling PR crises. Respond to crises and manage public perception and reputation. Provide media training for spokespersons.
535,3 to 11 Years,MBA,$64K-$80K,Slovak Republic,Part-Time,57100,Both,Purchasing Agent,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,"Coordinate supply chain activities, including logistics, transportation, and demand planning. Collaborate with suppliers and distribution partners. Monitor and improve supply chain efficiency."
536,0 to 14 Years,M.Com,$56K-$101K,Cote d'Ivoire,Part-Time,57086,Male,Purchasing Agent,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,"Coordinate supply chain activities, including logistics, transportation, and demand planning. Collaborate with suppliers and distribution partners. Monitor and improve supply chain efficiency."
537,0 to 11 Years,BBA,$59K-$103K,"Macao SAR, China",Temporary,20122,Female,Purchasing Agent,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,"Coordinate supply chain activities, including logistics, transportation, and demand planning. Collaborate with suppliers and distribution partners. Monitor and improve supply chain efficiency."
538,4 to 9 Years,MCA,$65K-$93K,New Zealand,Contract,25903,Both,Purchasing Agent,Supply Chain Coordinator,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.",Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination,"Coordinate supply chain activities, including logistics, transportation, and demand planning. Collaborate with suppliers and distribution partners. Monitor and improve supply chain efficiency."
539,1 to 10 Years,MBA,$56K-$108K,Moldova,Contract,116620,Female,Purchasing Agent,Inventory Manager,"An Inventory Manager oversees inventory levels, coordinates stock movements, and optimizes inventory control procedures to ensure efficient stock management and product availability.",Inventory control Demand forecasting Supply chain management Data analysis Warehouse management,"Manage inventory levels, track stock, and optimize inventory processes. Ensure stock availability and minimize carrying costs. Conduct inventory audits and reconcile discrepancies."
540,4 to 9 Years,MCA,$59K-$96K,Seychelles,Contract,97597,Male,QA Analyst,Automation Test Engineer,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",Develop and maintain automated test scripts using testing tools like Selenium or Appium. Execute automated tests and analyze results. Continuously improve test automation frameworks.
541,5 to 11 Years,B.Tech,$62K-$107K,Greenland,Intern,130715,Female,QA Analyst,Automation Test Engineer,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",Develop and maintain automated test scripts using testing tools like Selenium or Appium. Execute automated tests and analyze results. Continuously improve test automation frameworks.
542,2 to 11 Years,B.Tech,$62K-$87K,Djibouti,Temporary,124315,Both,QA Analyst,Automation Test Engineer,Automation Test Engineers develop automated test scripts and frameworks to streamline and enhance the testing process. They focus on automating repetitive tests to improve efficiency and maintain test consistency.,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",Develop and maintain automated test scripts using testing tools like Selenium or Appium. Execute automated tests and analyze results. Continuously improve test automation frameworks.
543,5 to 10 Years,M.Tech,$56K-$126K,San Marino,Temporary,92087,Male,QA Analyst,Software QA Tester,"Software QA Testers ensure the quality of software products by designing and executing test cases, identifying defects, and reporting issues to developers. They play a critical role in ensuring software reliability and functionality.","Software quality assurance Test planning Test case design Test execution Defect tracking Test automation (e.g., Selenium)","Perform manual testing of software applications, identify defects, and report issues. Create and execute test cases and test plans. Collaborate with developers to resolve defects."
544,0 to 14 Years,BA,$57K-$128K,Isle of Man,Full-Time,41587,Female,QA Analyst,Performance Testing Specialist,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.",Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis,Focus on performance and load testing to assess the scalability and responsiveness of software applications. Identify bottlenecks and optimize application performance. Generate performance test reports and recommendations.
545,0 to 14 Years,BA,$58K-$113K,Yemen,Intern,13580,Male,QA Engineer,QA Manager,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.",Quality assurance Process improvement Team leadership Problem-solving Quality control,"Lead and manage the QA team, including test planning, resource allocation, and test strategy development. Define quality standards and metrics. Oversee QA processes and continuous improvement efforts."
546,2 to 12 Years,B.Com,$64K-$106K,Thailand,Intern,128560,Female,QA Engineer,QA Manager,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.",Quality assurance Process improvement Team leadership Problem-solving Quality control,"Lead and manage the QA team, including test planning, resource allocation, and test strategy development. Define quality standards and metrics. Oversee QA processes and continuous improvement efforts."
547,4 to 13 Years,BCA,$61K-$94K,Djibouti,Temporary,42009,Both,QA Engineer,QA Manager,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.",Quality assurance Process improvement Team leadership Problem-solving Quality control,"Lead and manage the QA team, including test planning, resource allocation, and test strategy development. Define quality standards and metrics. Oversee QA processes and continuous improvement efforts."
548,2 to 8 Years,B.Tech,$61K-$123K,South Africa,Intern,92338,Female,QA Engineer,QA Manager,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.",Quality assurance Process improvement Team leadership Problem-solving Quality control,"Lead and manage the QA team, including test planning, resource allocation, and test strategy development. Define quality standards and metrics. Oversee QA processes and continuous improvement efforts."
549,1 to 12 Years,M.Tech,$59K-$98K,Honduras,Full-Time,103770,Both,QA Engineer,QA Manager,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.",Quality assurance Process improvement Team leadership Problem-solving Quality control,"Lead and manage the QA team, including test planning, resource allocation, and test strategy development. Define quality standards and metrics. Oversee QA processes and continuous improvement efforts."
550,4 to 9 Years,BBA,$63K-$95K,French Polynesia,Temporary,31700,Female,Quality Assurance Analyst,Test Automation Engineer,"Test Automation Engineers automate testing processes using scripts and tools. They design and maintain automated test suites to streamline testing efforts, improve efficiency, and enhance software quality.","Test automation frameworks and tools Scripting and programming languages (e.g., Python, Java) Continuous integration and continuous testing (CI/CT) Test script development and maintenance Test environment setup and management","Design, develop, and maintain automated test scripts and frameworks. Conduct regression testing and performance testing. Implement continuous integration and automated testing processes."
551,1 to 11 Years,BA,$57K-$109K,St. Martin (French part),Full-Time,64855,Female,Quality Assurance Analyst,Quality Assurance Manager,"Quality Assurance Managers lead quality assurance teams, ensuring that products or services meet established quality standards. They develop QA processes, set quality goals, and monitor compliance to maintain quality excellence.",Quality assurance processes and methodologies Quality metrics and KPIs Audit and compliance Team leadership and management Continuous improvement initiatives,"Lead the QA team, set quality standards, and define QA strategies. Ensure compliance with QA processes and industry standards. Conduct QA audits and drive process improvements."
552,3 to 15 Years,BBA,$60K-$113K,Nicaragua,Part-Time,78254,Female,Quality Assurance Analyst,Test Automation Engineer,"Test Automation Engineers automate testing processes using scripts and tools. They design and maintain automated test suites to streamline testing efforts, improve efficiency, and enhance software quality.","Test automation frameworks and tools Scripting and programming languages (e.g., Python, Java) Continuous integration and continuous testing (CI/CT) Test script development and maintenance Test environment setup and management","Design, develop, and maintain automated test scripts and frameworks. Conduct regression testing and performance testing. Implement continuous integration and automated testing processes."
553,4 to 13 Years,BBA,$55K-$95K,Belarus,Contract,24717,Male,Quality Assurance Analyst,Quality Assurance Manager,"Quality Assurance Managers lead quality assurance teams, ensuring that products or services meet established quality standards. They develop QA processes, set quality goals, and monitor compliance to maintain quality excellence.",Quality assurance processes and methodologies Quality metrics and KPIs Audit and compliance Team leadership and management Continuous improvement initiatives,"Lead the QA team, set quality standards, and define QA strategies. Ensure compliance with QA processes and industry standards. Conduct QA audits and drive process improvements."
554,3 to 14 Years,B.Com,$65K-$107K,Sao Tome and Principe,Full-Time,102501,Female,Quality Assurance Analyst,Quality Assurance Manager,"Quality Assurance Managers lead quality assurance teams, ensuring that products or services meet established quality standards. They develop QA processes, set quality goals, and monitor compliance to maintain quality excellence.",Quality assurance processes and methodologies Quality metrics and KPIs Audit and compliance Team leadership and management Continuous improvement initiatives,"Lead the QA team, set quality standards, and define QA strategies. Ensure compliance with QA processes and industry standards. Conduct QA audits and drive process improvements."
555,4 to 13 Years,B.Com,$59K-$81K,Suriname,Full-Time,39256,Both,Registered Nurse,Staff Nurse,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.",Nursing care Patient assessment Medical knowledge,"Provide direct patient care, including assessments, medication administration, and wound care. Monitor patient conditions and vital signs. Collaborate with healthcare teams to develop care plans."
556,3 to 11 Years,MCA,$63K-$89K,French Polynesia,Temporary,77120,Female,Registered Nurse,Charge Nurse,"A Charge Nurse leads and supervises nursing staff, coordinates patient care, and ensures efficient operations within a healthcare unit or department.",Nursing leadership Charge nurse responsibilities Team coordination,Supervise nursing staff and allocate patient assignments. Ensure compliance with nursing standards and protocols. Act as a resource for nursing-related issues.
557,1 to 10 Years,BA,$57K-$110K,Cabo Verde,Temporary,84292,Female,Registered Nurse,Clinical Nurse Specialist,"A Clinical Nurse Specialist is an advanced practice nurse who specializes in specific patient populations or clinical areas, providing expert care and contributing to improved patient outcomes.","Clinical nursing specialization (e.g., critical care, oncology) Advanced nursing skills Patient education","Specialize in a specific area of patient care, such as pediatrics or oncology. Provide expert clinical guidance and education to healthcare staff. Contribute to evidence-based practice and quality improvement."
558,4 to 14 Years,BBA,$57K-$82K,Guam,Full-Time,98571,Both,Registered Nurse,Charge Nurse,"A Charge Nurse leads and supervises nursing staff, coordinates patient care, and ensures efficient operations within a healthcare unit or department.",Nursing leadership Charge nurse responsibilities Team coordination,Supervise nursing staff and allocate patient assignments. Ensure compliance with nursing standards and protocols. Act as a resource for nursing-related issues.
559,4 to 14 Years,BBA,$55K-$100K,Italy,Intern,55867,Female,Registered Nurse,Staff Nurse,"A Staff Nurse provides patient care, administers medications, and collaborates with healthcare teams to ensure the well-being of patients in clinical settings.",Nursing care Patient assessment Medical knowledge,"Provide direct patient care, including assessments, medication administration, and wound care. Monitor patient conditions and vital signs. Collaborate with healthcare teams to develop care plans."
560,3 to 8 Years,BCA,$60K-$90K,Ireland,Part-Time,103238,Female,Research Analyst,Social Science Researcher,"A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge.","Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy","Conduct research in social sciences, gathering and analyzing data on social phenomena, human behavior, and public policy. Publish research findings in academic journals. Contribute to social science research projects."
561,3 to 9 Years,M.Tech,$57K-$122K,Azerbaijan,Part-Time,92366,Male,Research Analyst,Market Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail","Conduct market research to gather data on consumer behavior, market trends, and competitive analysis. Analyze research findings and generate actionable insights. Prepare research reports and presentations."
562,0 to 13 Years,MBA,$57K-$109K,Antigua and Barbuda,Part-Time,126367,Female,Research Analyst,Market Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail","Conduct market research to gather data on consumer behavior, market trends, and competitive analysis. Analyze research findings and generate actionable insights. Prepare research reports and presentations."
563,4 to 9 Years,BBA,$61K-$86K,St. Vincent and the Grenadines,Part-Time,117180,Both,Research Analyst,Market Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail","Conduct market research to gather data on consumer behavior, market trends, and competitive analysis. Analyze research findings and generate actionable insights. Prepare research reports and presentations."
564,3 to 14 Years,B.Tech,$57K-$104K,Libya,Part-Time,55171,Both,Research Analyst,Market Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail","Conduct market research to gather data on consumer behavior, market trends, and competitive analysis. Analyze research findings and generate actionable insights. Prepare research reports and presentations."
565,5 to 9 Years,B.Tech,$64K-$127K,Nicaragua,Contract,81952,Both,Research Scientist,Research Analyst,"Research Analysts conduct research, collect data, and analyze information to support business decision-making. They generate reports and recommendations based on their findings to aid in strategic planning.",Data collection and analysis Market research tools and techniques Survey design and analysis Qualitative and quantitative research methods Report writing and presentation skills,"Collect and compile data from various sources. Assist in the preparation of research proposals and project documentation. Support research activities, literature reviews, and data validation."
566,2 to 8 Years,MBA,$57K-$127K,Bangladesh,Temporary,96498,Male,Research Scientist,Senior Researcher,"Senior Researchers lead research initiatives within organizations. They design research projects, collect and analyze data, and provide insights to inform strategic decision-making and innovation efforts.","Research methodologies and data analysis Literature review and synthesis Statistical analysis software (e.g., SPSS, R) Research proposal development Strong communication and reporting skills","Plan and conduct scientific research projects, including experimental design and data analysis. Collaborate with cross-functional teams and provide technical expertise. Publish research findings in peer-reviewed journals."
567,5 to 11 Years,PhD,$65K-$124K,Croatia,Intern,92501,Female,Research Scientist,Senior Researcher,"Senior Researchers lead research initiatives within organizations. They design research projects, collect and analyze data, and provide insights to inform strategic decision-making and innovation efforts.","Research methodologies and data analysis Literature review and synthesis Statistical analysis software (e.g., SPSS, R) Research proposal development Strong communication and reporting skills","Plan and conduct scientific research projects, including experimental design and data analysis. Collaborate with cross-functional teams and provide technical expertise. Publish research findings in peer-reviewed journals."
568,5 to 9 Years,M.Com,$56K-$127K,Ecuador,Part-Time,56461,Female,Research Scientist,Research Analyst,"Research Analysts conduct research, collect data, and analyze information to support business decision-making. They generate reports and recommendations based on their findings to aid in strategic planning.",Data collection and analysis Market research tools and techniques Survey design and analysis Qualitative and quantitative research methods Report writing and presentation skills,"Collect and compile data from various sources. Assist in the preparation of research proposals and project documentation. Support research activities, literature reviews, and data validation."
569,1 to 9 Years,BCA,$56K-$82K,St. Martin (French part),Intern,24893,Male,Research Scientist,Research Analyst,"Research Analysts conduct research, collect data, and analyze information to support business decision-making. They generate reports and recommendations based on their findings to aid in strategic planning.",Data collection and analysis Market research tools and techniques Survey design and analysis Qualitative and quantitative research methods Report writing and presentation skills,"Collect and compile data from various sources. Assist in the preparation of research proposals and project documentation. Support research activities, literature reviews, and data validation."
570,4 to 8 Years,B.Com,$61K-$117K,Central African Republic,Intern,96776,Female,SEM Specialist,SEM Analyst,"SEM Analysts analyze search engine marketing (SEM) campaigns. They monitor performance, optimize keyword strategies, and provide insights to improve the effectiveness of SEM efforts.",Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management,Analyze SEM data and trends to optimize campaigns and ad spend. Generate reports and insights to improve SEM strategies. Stay up-to-date with SEM industry changes and best practices.
571,3 to 15 Years,MCA,$56K-$112K,Tonga,Temporary,101058,Male,SEM Specialist,Search Engine Marketer,"Search Engine Marketers optimize online content for search engines. They use SEO strategies to improve website rankings, increase organic traffic, and enhance online visibility.",Search engine marketing PPC advertising SEO strategy Data analysis Digital marketing skills,"Plan and execute search engine marketing (SEM) campaigns, including Google Ads and Bing Ads. Conduct keyword research and ad optimization. Analyze SEM performance metrics."
572,0 to 8 Years,PhD,$56K-$111K,Malta,Part-Time,87009,Male,SEM Specialist,Paid Advertising Specialist,Paid Advertising Specialists manage paid advertising campaigns. They use platforms like Google Ads and social media advertising to reach target audiences and achieve marketing goals.,Google Ads management PPC campaign optimization Keyword research Ad copywriting A/B testing Conversion tracking,"Manage paid advertising campaigns on various platforms, including social media and display networks. Create ad creatives and targeting strategies. Monitor ad spend and ROI."
573,0 to 15 Years,PhD,$57K-$93K,Cambodia,Temporary,33521,Male,SEM Specialist,Search Engine Marketer,"Search Engine Marketers optimize online content for search engines. They use SEO strategies to improve website rankings, increase organic traffic, and enhance online visibility.",Search engine marketing PPC advertising SEO strategy Data analysis Digital marketing skills,"Plan and execute search engine marketing (SEM) campaigns, including Google Ads and Bing Ads. Conduct keyword research and ad optimization. Analyze SEM performance metrics."
574,5 to 13 Years,B.Com,$62K-$114K,Denmark,Intern,120548,Female,SEM Specialist,Paid Advertising Specialist,Paid Advertising Specialists manage paid advertising campaigns. They use platforms like Google Ads and social media advertising to reach target audiences and achieve marketing goals.,Google Ads management PPC campaign optimization Keyword research Ad copywriting A/B testing Conversion tracking,"Manage paid advertising campaigns on various platforms, including social media and display networks. Create ad creatives and targeting strategies. Monitor ad spend and ROI."
575,3 to 10 Years,BBA,$64K-$113K,USA,Part-Time,110712,Both,SEO Analyst,Technical SEO Analyst,"As a Technical SEO Analyst, your role is to analyze website performance and identify opportunities for optimization. You will work on improving site speed, mobile-friendliness, and other technical aspects to enhance search engine rankings. You will also perform keyword research, conduct competitive analysis, and provide recommendations to improve website SEO.","Technical SEO Website audits SEO tools (e.g., Screaming Frog, Ahrefs) Schema markup Site speed optimization XML sitemaps Canonicalization","Focus on technical aspects of SEO, including website structure, page speed, and mobile optimization. Conduct technical SEO audits and provide recommendations for website improvements. Collaborate with web developers on technical SEO implementations."
576,3 to 10 Years,M.Tech,$65K-$118K,Iraq,Intern,13886,Both,SEO Analyst,SEO Content Strategist,"As an SEO Content Strategist, your primary responsibility is to develop and execute content strategies that enhance our online presence. You will conduct keyword research, optimize website content, and collaborate with the marketing team to improve search engine rankings and drive organic traffic. Your role involves staying updated with SEO trends and implementing best practices to boost our websites visibility and engagement.",SEO (Search Engine Optimization) Content strategy Keyword research Content optimization Content planning Analytics and reporting,"Develop and execute SEO-focused content strategies, including keyword optimization and content planning. Collaborate with content creators and web developers for SEO enhancements. Analyze content performance for SEO improvements."
577,5 to 8 Years,B.Com,$63K-$86K,Rwanda,Intern,82078,Male,SEO Analyst,Technical SEO Analyst,"As a Technical SEO Analyst, your role is to analyze website performance and identify opportunities for optimization. You will work on improving site speed, mobile-friendliness, and other technical aspects to enhance search engine rankings. You will also perform keyword research, conduct competitive analysis, and provide recommendations to improve website SEO.","Technical SEO Website audits SEO tools (e.g., Screaming Frog, Ahrefs) Schema markup Site speed optimization XML sitemaps Canonicalization","Focus on technical aspects of SEO, including website structure, page speed, and mobile optimization. Conduct technical SEO audits and provide recommendations for website improvements. Collaborate with web developers on technical SEO implementations."
578,1 to 15 Years,BBA,$62K-$99K,"Micronesia, Fed. Sts.",Contract,18114,Female,SEO Analyst,Technical SEO Analyst,"As a Technical SEO Analyst, your role is to analyze website performance and identify opportunities for optimization. You will work on improving site speed, mobile-friendliness, and other technical aspects to enhance search engine rankings. You will also perform keyword research, conduct competitive analysis, and provide recommendations to improve website SEO.","Technical SEO Website audits SEO tools (e.g., Screaming Frog, Ahrefs) Schema markup Site speed optimization XML sitemaps Canonicalization","Focus on technical aspects of SEO, including website structure, page speed, and mobile optimization. Conduct technical SEO audits and provide recommendations for website improvements. Collaborate with web developers on technical SEO implementations."
579,2 to 15 Years,M.Com,$55K-$104K,Poland,Intern,95386,Male,SEO Analyst,SEO Content Strategist,"As an SEO Content Strategist, your primary responsibility is to develop and execute content strategies that enhance our online presence. You will conduct keyword research, optimize website content, and collaborate with the marketing team to improve search engine rankings and drive organic traffic. Your role involves staying updated with SEO trends and implementing best practices to boost our websites visibility and engagement.",SEO (Search Engine Optimization) Content strategy Keyword research Content optimization Content planning Analytics and reporting,"Develop and execute SEO-focused content strategies, including keyword optimization and content planning. Collaborate with content creators and web developers for SEO enhancements. Analyze content performance for SEO improvements."
580,5 to 8 Years,M.Com,$62K-$113K,Syrian Arab Republic,Full-Time,112902,Male,SEO Specialist,Technical SEO Specialist,"Technical SEO Specialists optimize website infrastructure, addressing issues like site speed, mobile-friendliness, and structured data to enhance search engine visibility.",Technical SEO audits Website crawl analysis Schema markup XML sitemaps Canonicalization,"Identify and resolve technical SEO issues, such as crawl errors, website speed, and mobile-friendliness. Implement schema markup and structured data. Ensure website indexing and sitemap accuracy."
581,0 to 13 Years,MBA,$63K-$107K,Indonesia,Contract,24110,Male,SEO Specialist,SEO Analyst,"SEO Analysts optimize websites for search engines, conduct keyword research, analyze performance metrics, and implement strategies to improve search rankings.","Search engine optimization Keyword research SEO tools (e.g., Google Analytics, SEMrush) On-page and off-page optimization","Conduct keyword research, on-page and off-page SEO optimization, and website audits. Monitor search engine rankings and website traffic. Generate SEO reports and recommendations."
582,1 to 13 Years,M.Tech,$59K-$92K,Guam,Part-Time,34684,Both,SEO Specialist,SEO Analyst,"SEO Analysts optimize websites for search engines, conduct keyword research, analyze performance metrics, and implement strategies to improve search rankings.","Search engine optimization Keyword research SEO tools (e.g., Google Analytics, SEMrush) On-page and off-page optimization","Conduct keyword research, on-page and off-page SEO optimization, and website audits. Monitor search engine rankings and website traffic. Generate SEO reports and recommendations."
583,3 to 13 Years,M.Tech,$61K-$119K,Guinea-Bissau,Full-Time,106280,Male,SEO Specialist,Technical SEO Specialist,"Technical SEO Specialists optimize website infrastructure, addressing issues like site speed, mobile-friendliness, and structured data to enhance search engine visibility.",Technical SEO audits Website crawl analysis Schema markup XML sitemaps Canonicalization,"Identify and resolve technical SEO issues, such as crawl errors, website speed, and mobile-friendliness. Implement schema markup and structured data. Ensure website indexing and sitemap accuracy."
584,0 to 9 Years,B.Tech,$60K-$106K,Nepal,Full-Time,97995,Both,SEO Specialist,SEO Analyst,"SEO Analysts optimize websites for search engines, conduct keyword research, analyze performance metrics, and implement strategies to improve search rankings.","Search engine optimization Keyword research SEO tools (e.g., Google Analytics, SEMrush) On-page and off-page optimization","Conduct keyword research, on-page and off-page SEO optimization, and website audits. Monitor search engine rankings and website traffic. Generate SEO reports and recommendations."
585,3 to 15 Years,MBA,$60K-$84K,Central African Republic,Full-Time,55813,Male,Sales Associate,Retail Sales Associate,"A Retail Sales Associate assists customers in retail environments, helping them find products, providing product information, and ensuring a positive shopping experience.",Customer service Sales techniques Product knowledge Cash handling Communication skills,"Assist customers in retail stores, answer questions, and provide product information. Process sales transactions and handle customer inquiries and returns. Maintain store displays and merchandising."
586,1 to 9 Years,MCA,$62K-$109K,Indonesia,Temporary,78789,Female,Sales Associate,Retail Sales Associate,"A Retail Sales Associate assists customers in retail environments, helping them find products, providing product information, and ensuring a positive shopping experience.",Customer service Sales techniques Product knowledge Cash handling Communication skills,"Assist customers in retail stores, answer questions, and provide product information. Process sales transactions and handle customer inquiries and returns. Maintain store displays and merchandising."
587,3 to 13 Years,MBA,$61K-$103K,Nigeria,Intern,58340,Female,Sales Associate,Retail Sales Associate,"A Retail Sales Associate assists customers in retail environments, helping them find products, providing product information, and ensuring a positive shopping experience.",Customer service Sales techniques Product knowledge Cash handling Communication skills,"Assist customers in retail stores, answer questions, and provide product information. Process sales transactions and handle customer inquiries and returns. Maintain store displays and merchandising."
588,3 to 8 Years,B.Com,$56K-$95K,"Venezuela, RB",Full-Time,59133,Female,Sales Associate,Retail Sales Associate,"A Retail Sales Associate assists customers in retail environments, helping them find products, providing product information, and ensuring a positive shopping experience.",Customer service Sales techniques Product knowledge Cash handling Communication skills,"Assist customers in retail stores, answer questions, and provide product information. Process sales transactions and handle customer inquiries and returns. Maintain store displays and merchandising."
589,3 to 14 Years,BA,$59K-$116K,Bahrain,Intern,44890,Both,Sales Associate,Retail Sales Associate,"A Retail Sales Associate assists customers in retail environments, helping them find products, providing product information, and ensuring a positive shopping experience.",Customer service Sales techniques Product knowledge Cash handling Communication skills,"Assist customers in retail stores, answer questions, and provide product information. Process sales transactions and handle customer inquiries and returns. Maintain store displays and merchandising."
